0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
998.9132,407.32657,0.75166154,1006.02954,396.77652,0.7953773,1002.86914,397.6188,0.7366084,1026.2211,396.26224,0.963117,1025.6157,397.3522,0.85372776,1043.6272,445.0577,0.9433838,1030.7408,446.98697,0.9291441,989.579,380.5164,0.98892045,989.72314,382.48532,0.87955856,993.7477,315.87936,0.94712126,993.3043,321.9515,0.86893994,1039.6333,604.9155,0.8728655,1025.7327,603.0138,0.8576469,1027.4493,738.906,0.9383854,1011.87756,734.27563,0.8720529,1047.5737,871.7886,0.91289604,1031.8538,850.0027,0.9946977
999.0867,407.10474,0.75474286,1006.1797,396.66046,0.7955924,1003.0,397.5052,0.73738855,1026.3647,396.25323,0.96515054,1025.6002,397.35992,0.85387534,1043.5411,445.013,0.94452894,1030.6511,446.93256,0.931421,989.62354,380.5432,0.98833656,989.771,382.4254,0.88127977,993.82654,315.8357,0.9464891,993.4319,321.6623,0.8741987,1039.6644,605.0085,0.8741051,1025.6964,603.0934,0.8574335,1027.4648,738.9587,0.9391686,1011.86194,734.37054,0.87136114,1047.5804,871.73553,0.912222,1031.8407,850.00726,0.99449086
994.77686,408.6456,0.7811589,1002.01074,398.40268,0.8390001,997.3213,399.2026,0.7694067,1024.7119,396.58658,0.99593484,1020.1046,397.43057,0.8719325,1043.5735,445.76547,0.94585264,1027.083,448.2512,0.9491024,990.579,383.87186,0.9558395,988.80396,387.074,0.88428795,986.7634,322.9788,0.9651668,985.5707,329.6461,0.92210233,1041.6343,604.8435,0.87853146,1023.39905,602.75476,0.88784564,1028.4186,737.96277,0.9282181,1008.911,732.614,0.8997573,1048.1683,872.03064,0.93225837,1030.5691,850.3861,0.9717714
996.00934,407.90674,0.8022157,1001.66205,397.37793,0.84773695,997.87726,398.2447,0.7999594,1021.6689,397.276,0.998114,1018.9992,397.5473,0.85980475,1043.4844,447.8897,0.94473433,1025.2183,449.98645,0.94695044,987.7376,386.93408,0.95839596,983.118,394.31427,0.8959222,980.98785,322.78827,0.91079384,974.70966,337.09424,0.90318567,1042.9595,605.9816,0.87748474,1025.7585,604.5093,0.9136627,1028.9512,738.932,0.9296357,1010.5101,734.31934,0.91136193,1047.9534,871.9457,0.9480294,1031.0608,851.3839,0.9497888
994.5825,408.98886,0.7999616,999.6432,399.30215,0.8609295,995.71423,400.0903,0.7514417,1020.88354,397.84103,0.99301755,1016.08044,399.1523,0.85611427,1042.7231,449.13876,0.93648124,1022.80554,451.67746,0.9147936,982.5405,391.3052,0.94884837,976.10144,401.01797,0.94093716,970.19226,320.6028,0.9478966,961.0044,339.48203,0.9776525,1044.6559,606.2816,0.90084267,1027.2251,604.4354,0.8636415,1029.4141,739.44226,0.9144113,1011.094,733.35693,0.88675606,1047.9335,871.5768,0.9454764,1030.6631,851.26624,0.95994335
994.8324,408.68903,0.7630977,998.7372,399.18823,0.8557555,996.058,399.52618,0.76834714,1018.6835,397.5592,0.96211445,1015.526,398.83337,0.8495399,1042.1575,448.06104,0.94348264,1019.40906,450.52844,0.9261224,977.6476,395.57507,0.9513955,967.5497,406.21216,0.9405738,957.7091,326.05603,0.93644935,948.38184,345.42944,0.9180006,1045.6837,606.8387,0.9173122,1028.7863,604.7216,0.84923434,1030.723,741.1642,0.9185107,1014.4586,735.3889,0.8893268,1047.211,872.6975,0.9668633,1031.8868,852.32434,0.9176161
990.6372,410.96167,0.83761895,994.19556,401.4713,0.89962745,991.7909,401.62872,0.8232299,1015.3989,399.13782,0.9602314,1011.6017,401.0053,0.8004913,1040.4082,447.70636,0.9567991,1017.1111,450.76306,0.97135603,969.18396,401.34955,0.95249844,956.54443,410.40845,0.9819668,942.7102,332.21088,0.948085,933.2201,350.30725,0.9568667,1047.9055,607.28455,0.92011404,1029.727,605.21106,0.87251496,1032.2375,739.07996,0.86936843,1016.29004,734.178,0.9092538,1046.6018,874.1731,0.9445452,1033.8745,853.0493,0.9411122
983.9348,412.66367,0.93890107,988.4446,402.43454,0.96108526,984.7152,404.08182,0.8989841,1014.4186,401.00424,0.9991733,1005.7882,403.29428,0.7351737,1037.9658,447.70377,0.95065653,1013.7937,450.5383,0.93136096,959.00146,408.3857,0.8882071,947.3363,415.43393,0.9928007,920.8899,335.64804,0.91884506,912.6935,354.74142,0.9598504,1051.8049,608.4746,0.8931337,1030.2345,606.24475,0.8995006,1034.5941,741.13196,0.9158653,1015.8252,736.3312,0.90534425,1045.9338,878.09045,0.9386294,1031.835,855.7639,0.9264368
979.7748,415.29797,0.95555097,985.12646,404.87787,0.9892376,980.0995,405.98376,0.94195604,1012.03467,403.2688,0.9890655,1002.41284,405.72034,0.7473587,1034.51,448.79993,0.96964943,1012.23157,450.568,0.8747058,951.22375,425.35358,0.9396779,940.2572,431.2541,0.91288185,908.35583,364.8731,0.96388566,903.14856,379.5086,0.96160334,1056.2267,608.38684,0.9014407,1033.9685,606.79443,0.90971947,1034.5706,741.36926,0.9261973,1015.10657,735.27405,0.87619925,1045.7996,879.2977,0.9620974,1031.1554,856.546,0.9378761
976.0032,419.033,1.0135853,981.39233,408.32687,0.9754471,975.59985,409.6202,0.99694407,1009.97144,406.55673,0.9915186,998.1903,408.2493,0.72995013,1030.0751,449.13644,0.946821,1009.1776,449.9669,0.87629616,942.9437,442.72324,0.9092846,930.1035,444.6088,0.90409267,886.42236,382.00125,0.90427715,884.47034,397.046,0.8600546,1059.6057,609.5293,0.86676705,1039.8125,607.96533,0.8551309,1037.405,744.2124,0.9091141,1016.5366,736.6902,0.89407027,1046.3906,880.511,0.94126433,1031.1934,858.7217,0.91410077
