Video file: ✅269-Right.MOV, Total frames: 108
Video file: ✅142-Right.MOV, Total frames: 81
Video file: ✅232-Right.MOV, Total frames: 141
Video file: ✅166-Left.MOV, Total frames: 64
Video file: ✅248-Right.MOV, Total frames: 113
Video file: ✅113.MP4, Total frames: 122
Video file: ✅167-Left.MOV, Total frames: 48
Video file: ✅301-Left.MOV, Total frames: 141
Video file: ✅138-Right.MOV, Total frames: 73
Video file: ✅241-Left.MOV, Total frames: 113
Video file: ✅295-Right.MOV, Total frames: 132
Video file: ✅240-Left.MOV, Total frames: 121
Video file: ✅156-Right.MOV, Total frames: 61
Video file: ✅105.MP4, Total frames: 302
Video file: ✅111.MP4, Total frames: 143
Video file: ✅264-Right.MOV, Total frames: 108
Video file: ✅96-Right.MP4, Total frames: 86
Video file: ✅186-Right.MOV, Total frames: 77
Video file: ✅303-Right.MOV, Total frames: 141
Video file: ✅135-Right.MOV, Total frames: 64
Video file: ✅245-Right.MOV, Total frames: 120
Video file: ✅110.MP4, Total frames: 131
Video file: ✅104.MP4, Total frames: 74
Video file: 127.MP4, Total frames: 78
Video file: ✅290-Left.MOV, Total frames: 140
Video file: ✅298-Right.MOV, Total frames: 132
Video file: ✅291-Left.MOV, Total frames: 113
Video file: ✅202-Left.MOV, Total frames: 76
Video file: ✅203-Left.MOV, Total frames: 84
Video file: ✅57-Right.mp4, Total frames: 75
Video file: ✅52-Left.mp4, Total frames: 63
Video file: ✅121.MP4, Total frames: 66
Video file: ✅109.MP4, Total frames: 107
Video file: ✅39-Right.MP4, Total frames: 98
Video file: ✅172-Right.MOV, Total frames: 62
Video file: ✅278-Right.MOV, Total frames: 125
Video file: ✅18-Right.mp4, Total frames: 52
Video file: ✅153-Right.MOV, Total frames: 81
Video file: ✅108.MP4, Total frames: 135
Video file: ✅62-Right.mp4, Total frames: 64
Video file: ✅211-Left.MOV, Total frames: 65
Video file: ✅259-Right.MOV, Total frames: 129
Video file: ✅120.mp4, Total frames: 28
Video file: ✅284-Right.MOV, Total frames: 137
Video file: ✅76-Right.mp4, Total frames: 149
Video file: ✅24-Left.MP4, Total frames: 115
Video file: ✅25-Left.MP4, Total frames: 121
Video file: ✅147-Right.MOV, Total frames: 92
Video file: ✅237-Right.MOV, Total frames: 121
Video file: ✅82-Left.mp4, Total frames: 44
Video file: ✅190-Left.MOV, Total frames: 57
Video file: ✅93-Right.mp4, Total frames: 135
Video file: ✅191-Left.MOV, Total frames: 72
Video file: ✅10-Left.mp4, Total frames: 184
Video file: ✅11-Left.mp4, Total frames: 63
Video file: ✅122.MP4, Total frames: 74
Video file: ✅34-Right.MP4, Total frames: 106
Video file: ✅225-Left.MOV, Total frames: 89
Video file: ✅224-Left.MOV, Total frames: 85
Video file: ✅99-Left.mov, Total frames: 134
Video file: ✅275-Right.MOV, Total frames: 93
Video file: ✅98-Left.mov, Total frames: 157
Video file: ✅254-Right.MOV, Total frames: 112
Video file: ✅123.MP4, Total frames: 64
Video file: ✅306-Right.MOV, Total frames: 133
Video file: ✅289-Right.MOV, Total frames: 128
Video file: ✅175-Left.MOV, Total frames: 68
Video file: ✅7-Left.mp4, Total frames: 186
Video file: ✅174-Left.MOV, Total frames: 44
Video file: ✅6-Left.mp4, Total frames: 126
Video file: ✅296-Right.MOV, Total frames: 100
Video file: ✅271-Left.MOV, Total frames: 112
Video file: ✅64-Right.mp4, Total frames: 222
Video file: ✅270-Left.MOV, Total frames: 121
Video file: ✅155-Right.MOV, Total frames: 72
Video file: ✅188-Right.MOV, Total frames: 77
Video file: ✅141-Right.MOV, Total frames: 57
Video file: ✅70-Right.mp4, Total frames: 307
Video file: ✅282-Right.MOV, Total frames: 148
Video file: ✅85-Left.mov, Total frames: 99
Video file: ✅210-Right.MOV, Total frames: 65
Video file: ✅160-Right.MOV, Total frames: 69
Video file: ✅33-Left.MP4, Total frames: 115
Video file: ✅126.MP4, Total frames: 76
Video file: ✅32-Left.MP4, Total frames: 101
Video file: ✅45-Right.mp4, Total frames: 52
Video file: ✅49-Right.mov, Total frames: 105
Video file: ✅168-Left.MOV, Total frames: 52
Video file: ✅169-Left.MOV, Total frames: 69
Video file: ✅69-Right.mp4, Total frames: 175
Video file: ✅252-Right.MOV, Total frames: 132
Video file: ✅13-Right.mp4, Total frames: 37
Video file: ✅158-Right.MOV, Total frames: 57
Video file: ✅118.MP4, Total frames: 70
Video file: ✅124.MP4, Total frames: 90
Video file: ✅130.MP4, Total frames: 96
Video file: ✅185-Right.MOV, Total frames: 52
Video file: ✅246-Right.MOV, Total frames: 129
Video file: ✅300-Right.MOV, Total frames: 120
Video file: ✅136-Right.MOV, Total frames: 69
Video file: ✅26-Right.MP4, Total frames: 75
Video file: ✅95-Right.MP4, Total frames: 121
Video file: ✅125.MP4, Total frames: 73
Video file: ✅267-Right.MOV, Total frames: 129
Video file: ✅119.MP4, Total frames: 98
Video file: ✅273-Right.MOV, Total frames: 124
Video file: ✅209-Right.MOV, Total frames: 87
Video file: ✅38-Right.MP4, Total frames: 122
Video file: ✅279-Right.MOV, Total frames: 129
Video file: ✅42-Right.MP4, Total frames: 104
Video file: ✅43-Left.MP4, Total frames: 98
Video file: ✅83-Left.mov, Total frames: 122
Video file: ✅285-Right.MOV, Total frames: 96
Video file: ✅77-Right.mp4, Total frames: 31
Video file: ✅236-Right.MOV, Total frames: 121
Video file: ✅146-Right.MOV, Total frames: 73
Video file: ✅67-Left.MOV, Total frames: 104
Video file: ✅292-Left.MOV, Total frames: 113
Video file: ✅152-Right.MOV, Total frames: 49
Video file: ✅19-Right.mp4, Total frames: 280
Video file: ✅201-Left.MOV, Total frames: 64
Video file: ✅63-Right.mp4, Total frames: 287
Video file: ✅258-Right.MOV, Total frames: 109
Video file: ✅200-Left.MOV, Total frames: 25
Video file: ✅35-Right.MP4, Total frames: 120
Video file: ✅48-Left.mp4, Total frames: 190
Video file: ✅274-Right.mov, Total frames: 152
Video file: ✅88-Left.mov, Total frames: 101
Video file: ✅180-Left.MOV, Total frames: 68
Video file: ✅92-Right.mp4, Total frames: 82
Video file: ✅181-Left.MOV, Total frames: 95
Video file: ✅288-Right.MOV, Total frames: 125
Video file: ✅307-Right.MOV, Total frames: 140
Video file: ✅131-Right.MOV, Total frames: 69
Video file: ✅165-Left.MOV, Total frames: 57
Video file: ✅14-Right.mp4, Total frames: 221
Video file: ✅255-Right.mov, Total frames: 153
Video file: ✅228-Left.MOV, Total frames: 48
Video file: ✅189-Right.MOV, Total frames: 60
Video file: ✅229-Left.MOV, Total frames: 65
Video file: ✅71-Right.mp4, Total frames: 148
Video file: ✅283-Right.MOV, Total frames: 89
Video file: ✅297-Right.MOV, Total frames: 104
Video file: ✅65-Right.mp4, Total frames: 170
Video file: ✅261-Left.MOV, Total frames: 104
Video file: ✅260-Left.MOV, Total frames: 105
Video file: ✅154-Right.MOV, Total frames: 61
Video file: ✅216-Left.MOV, Total frames: 76
Video file: ✅44-Right.mp4, Total frames: 92
Video file: ✅217-Left.MOV, Total frames: 73
Video file: ✅178-Left.MOV, Total frames: 72
Video file: ✅179-Left.MOV, Total frames: 49
Video file: ✅161-Right.MOV, Total frames: 65
Video file: ✅23-Left.mp4, Total frames: 126
Video file: ✅22-Left.mp4, Total frames: 53
Video file: ✅137-Right.MOV, Total frames: 85
Video file: ✅247-Right.MOV, Total frames: 152
Video file: ✅197-Left.MOV, Total frames: 60
Video file: ✅196-Left.MOV, Total frames: 72
Video file: ✅68-Right.mp4, Total frames: 334
Video file: ✅253-Right.MOV, Total frames: 136
Video file: ✅159-Right.MOV, Total frames: 73
Video file: ✅222-Left.MOV, Total frames: 44
Video file: ✅223-Left.MOV, Total frames: 73
Video file: ✅272-Right.MOV, Total frames: 109
Video file: ✅80-Right.mp4, Total frames: 83
Video file: ✅29-Left.MP4, Total frames: 107
Video file: ✅28-Left.MP4, Total frames: 106
Video file: ✅208-Right.MOV, Total frames: 80
Video file: ✅173-Left.MOV, Total frames: 72
Video file: ✅1-Left.mp4, Total frames: 74
Video file: ✅60-Left.mp4, Total frames: 105
Video file: ✅94-Right.mp4, Total frames: 104
Video file: ✅266-Right.MOV, Total frames: 104
