0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1097.4502,567.063,0.92728966,1105.8567,556.6759,0.9406376,1097.0854,553.84827,0.9348229,1067.1523,516.3428,0.6188488,1060.3367,526.6062,0.98029834,1019.51324,476.6697,0.86308336,961.6097,520.0123,0.831205,975.9222,391.0009,0.96823955,864.0972,437.01688,0.9139104,952.1849,294.5685,0.93812716,799.9305,326.9794,0.8922309,902.5782,610.9188,0.8238946,841.67633,616.9177,0.82989436,971.1696,705.6802,0.9424118,922.5367,744.55615,0.9784595,925.7242,844.1925,0.9221741,880.5876,893.2865,0.9268388
1095.2107,581.6312,0.94011515,1104.6953,571.8315,0.95877177,1096.2427,567.62384,0.9318818,1067.5188,534.8064,0.60459125,1061.5942,540.8873,0.9537227,1014.9169,501.26324,0.81076676,952.8159,538.5909,0.8262497,966.4133,424.66412,0.9384396,842.55664,467.22882,0.977302,927.62134,333.27216,0.9579568,765.1653,378.37665,0.9369898,907.37537,624.9382,0.77211964,845.5447,633.66815,0.84121025,976.683,716.1484,0.9196439,927.0311,753.7381,0.944646,924.0382,849.06415,0.9311801,881.0033,898.71246,0.944244
1097.1837,590.9236,0.965209,1105.9049,581.60254,0.9353329,1096.4271,577.4287,0.98379433,1067.183,542.4728,0.60260725,1058.9326,549.1615,0.9844583,1020.44006,522.49963,0.79842794,945.8639,549.3003,0.80100584,950.97,452.7515,0.9375981,825.8767,508.48776,0.9189,900.39453,381.2668,0.9335357,732.2418,444.7463,0.9156941,913.6151,636.38794,0.8162461,851.5337,645.9906,0.8523998,987.1609,722.188,0.9186898,931.03284,762.68494,0.960139,926.94226,852.2589,0.9315218,881.713,900.15625,0.9320179
1085.8237,580.55524,0.91846406,1094.0203,571.5513,0.9148209,1085.4133,568.1593,0.9533119,1056.0457,537.6401,0.7025174,1051.4357,539.2405,0.96483576,1013.43066,530.2928,0.7556834,930.2814,561.4827,0.7987071,918.19727,527.63763,0.53271735,814.48145,598.5276,0.92513126,878.56726,520.59875,0.87474376,709.2366,625.06274,0.9149493,929.1185,645.0426,0.84439707,866.4719,660.58777,0.83526826,999.5137,733.8135,0.9867755,942.5781,774.2584,0.9836507,928.58923,849.369,0.9000609,883.921,900.55945,0.9073389
1081.0881,555.52124,0.96454275,1087.605,545.4083,0.9576545,1077.8203,542.87476,0.9892727,1044.0701,514.4689,0.58907783,1036.7148,516.3755,0.9610076,1007.41364,520.94055,0.7903899,916.3221,554.27734,0.8250849,961.4537,601.8607,0.28970805,826.8591,644.9204,0.9054549,963.9571,672.3152,0.26645303,752.1563,729.8927,0.8831482,939.63116,648.489,0.8066512,872.9212,666.87305,0.7914238,1003.88873,741.03064,0.9648659,946.2304,775.4933,0.92428637,929.87335,850.19617,0.9082125,884.35223,900.22156,0.94057316
1054.301,487.00528,0.9560975,1058.7916,473.10245,0.93378043,1047.012,471.73892,0.98936677,1006.11145,456.84256,0.5607692,997.0465,455.62778,0.91870385,998.96716,508.39737,0.8429692,909.3401,521.78784,0.84909385,1009.864,607.37195,0.9136131,913.5624,663.1378,0.9588322,1034.4236,698.95996,0.91815096,932.6924,796.6035,0.90882075,950.18726,654.83887,0.84835184,872.3518,664.68604,0.795804,1007.13794,743.953,0.9036993,948.88525,779.0044,0.85269123,937.35046,847.678,0.8601447,884.51624,901.3125,0.9329442
1035.7516,448.81363,0.98574173,1038.3313,434.4097,0.9283997,1023.818,433.76846,0.9656497,984.76575,431.1636,0.59430647,972.49915,428.75858,0.96204257,991.6593,493.82028,0.89726096,905.1896,502.99344,0.8764584,1036.0188,587.542,0.9361342,956.97314,631.6129,0.9623904,1107.5367,678.7639,0.9481778,1027.7772,747.6146,0.93376404,934.9769,651.39734,0.8648964,871.06067,660.7201,0.83685136,1004.14246,754.917,0.7614074,949.9313,780.09314,0.9675926,930.6664,851.5851,0.9145594,884.97095,899.36414,0.962603
1015.1908,416.79626,0.969343,1014.6383,402.2921,0.9403196,1001.65784,403.51422,0.99022084,965.98987,406.8808,0.59816146,949.1083,406.74548,0.9878327,981.3076,471.7433,0.88860315,901.54004,486.31158,0.867958,1053.1443,540.7589,0.9064753,985.08215,576.8374,0.93651575,1140.9165,605.1839,0.9079323,1095.025,650.8718,0.9001571,946.0272,646.74524,0.8757759,880.0248,659.8629,0.8434618,1001.16626,754.8895,0.93562543,953.1754,782.0565,0.9376887,930.2965,852.3707,0.89196897,884.41504,898.7848,0.9530138
984.8452,365.00723,0.9949454,985.2848,350.33652,0.9862884,968.67053,351.5059,0.9857308,940.9403,360.2039,0.51732814,917.3281,363.28378,0.98706686,953.4574,428.05588,0.74568665,889.26074,432.04794,0.92870957,1060.0884,417.8536,0.5231782,1013.4707,418.82925,0.83397156,1155.8397,391.1921,0.7030468,1123.5608,392.72647,0.61174124,950.96643,637.74817,0.844661,888.7798,650.92285,0.85001665,1014.14856,740.27893,0.9763457,950.5995,782.55054,0.987603,933.7832,852.52527,0.9107176,887.00757,898.46484,0.9446918
964.30664,337.4247,0.92171943,965.92236,323.3607,0.97956145,949.14624,325.6602,0.9639732,966.777,329.52628,0.6984048,905.8584,339.75406,0.93697476,967.3711,402.50906,0.9087324,889.98865,404.0814,0.9091544,1061.7426,350.1389,0.9534401,987.57227,331.92117,0.7881496,1149.9177,280.21902,0.92082274,1086.9442,261.34976,0.8157097,954.301,625.579,0.86005914,890.73804,636.9175,0.8529649,1013.3756,738.4021,0.928722,946.2727,778.11206,1.0004911,934.4491,854.55347,0.9047048,888.58813,899.147,0.9237703
