0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
784.98096,684.48413,0.9742786,785.2866,668.9978,0.93349063,775.0813,665.8275,0.9877571,735.49146,665.60144,0.7319553,729.9575,662.8429,0.9755664,724.093,752.1334,0.7811837,734.9116,753.5293,0.9027612,863.5553,750.19617,0.751103,870.603,743.54004,0.94872355,972.1023,709.1289,0.6901326,987.0845,704.9607,0.9306767,747.7019,1011.2119,0.74570227,761.4507,1016.7224,0.8896984,746.18066,1197.385,0.89243126,761.8811,1205.9204,0.9259404,742.8871,1355.6274,0.946352,742.2649,1377.4735,0.96454704
787.24457,688.17194,0.97758085,787.6276,672.9881,0.9510939,777.75995,669.5461,0.98429406,736.67377,666.9959,0.7307574,731.53937,664.69037,0.98200774,718.7244,753.1501,0.80327666,734.9301,753.80194,0.9052878,857.6768,767.19086,0.73283756,866.40924,760.6899,1.0023392,969.1628,740.7985,0.6354517,991.6445,736.28375,0.94289607,746.47186,1012.5546,0.7605685,761.0795,1018.0146,0.8843211,747.1818,1196.0583,0.89969945,763.4014,1206.1741,0.92456937,743.01447,1355.1326,0.9416271,742.33856,1378.992,0.9712456
790.59155,691.98785,0.983105,792.7057,676.7099,0.9698559,782.07947,673.0905,0.9985237,741.19446,667.6657,0.7166891,736.05273,664.9532,0.98171484,714.6123,753.5904,0.8298433,734.91565,756.0428,0.91072714,854.42224,786.9908,0.6761721,863.048,783.70685,0.96605265,972.78845,783.40607,0.56200653,989.8583,784.87775,0.91241443,742.9702,1010.76447,0.77465546,760.9994,1016.40314,0.8862834,748.5919,1194.8635,0.9004309,764.1035,1204.9524,0.93423975,742.83875,1353.5562,0.94088143,742.3584,1380.169,0.9765153
795.80383,698.14105,0.973055,799.14685,682.39777,0.9626607,789.28503,677.71686,0.9995663,744.7274,670.59015,0.6968217,745.1405,667.5755,0.9430133,713.32043,755.40314,0.83999044,732.7904,759.3498,0.9535847,845.65955,814.3857,0.7375001,854.91785,812.7404,0.96318126,958.36255,837.8776,0.748633,975.8275,839.737,0.9223964,738.1852,1011.0632,0.7740136,757.49646,1017.6176,0.886119,750.421,1193.5024,0.93392456,764.0857,1203.991,0.9287913,742.6046,1351.8577,0.92602754,741.3358,1379.4155,0.98376876
805.76135,704.74164,0.9597347,808.59265,688.6888,0.9492947,799.9558,685.4842,0.9713499,756.0405,674.69464,0.75841296,756.8085,673.26556,0.9653955,715.6267,753.5911,0.86975586,736.35706,760.7011,0.9462619,817.29895,848.4106,0.7188045,827.8126,837.8571,0.9666654,921.8285,892.2861,0.7369205,945.1185,896.3953,0.9585068,736.28235,1012.5894,0.729776,752.339,1020.32526,0.8845198,755.35754,1197.4045,0.88802516,763.43835,1206.6599,0.9840638,744.7993,1350.22,0.9151192,740.92554,1382.4265,0.9711324
818.59656,711.06494,0.9330026,824.1749,695.38525,0.9815819,814.29736,690.5803,0.9488578,773.09375,676.2446,0.70171237,771.9746,674.1366,0.9798992,720.11523,754.0825,0.8654198,741.4436,766.2075,0.9454653,775.78564,869.1466,0.5266249,799.17114,863.34814,0.95801604,851.6763,939.3014,0.26343983,891.5322,955.33936,0.9102564,731.32166,1011.33057,0.7438521,745.0283,1019.93774,0.8484653,757.1725,1196.6989,0.90129495,762.3032,1205.5671,0.98613715,745.197,1352.854,0.9920174,742.13513,1386.1406,0.939245
838.1079,719.3209,0.9844244,843.4906,703.1665,0.98718625,834.771,698.2805,0.998338,791.3544,683.68884,0.77103794,792.31775,681.7295,0.9781619,731.9336,756.3722,0.8935103,751.3551,767.1233,0.96245897,744.1218,882.7776,0.6037773,763.6958,875.40845,0.943304,780.0448,990.65063,0.3810693,802.771,987.0554,0.9480614,720.5679,1012.91797,0.75520337,732.07166,1020.5198,0.8826026,763.52246,1196.8052,0.9169712,765.1012,1204.1826,0.96686155,746.59375,1351.2406,0.956079,742.59106,1385.6979,0.9012117
858.23376,732.77295,0.9664216,863.5797,715.7976,0.9391214,855.24866,711.08167,0.993008,814.2545,695.5045,0.7384676,814.4691,693.9918,0.98447764,755.6394,767.2395,0.80168104,759.8286,774.1072,0.9753976,725.28796,884.7661,0.62291706,726.4608,878.5504,0.96106386,709.0194,995.80115,0.55264044,699.0033,1005.21155,0.904148,736.60266,1022.88025,0.7171433,730.2429,1026.4783,0.90040994,769.7505,1197.3364,0.9188998,772.631,1201.5735,0.9805978,750.6008,1347.7756,0.97000676,742.338,1381.1536,0.9381331
876.56726,752.3242,0.97594345,882.1144,735.66895,0.9352496,874.3146,730.621,1.00103,831.99255,713.5283,0.7362608,833.8662,712.2893,0.97541857,768.8866,776.1614,0.8565947,777.37976,786.0393,0.9694052,704.9286,868.4813,0.63156927,699.1383,863.8517,0.96237177,641.4176,947.92957,0.6473356,627.56665,947.86597,0.93436164,708.1074,1020.8899,0.72772324,710.9691,1029.0245,0.8488404,770.2615,1193.666,0.88682175,783.95374,1199.2701,0.9868015,752.916,1345.2872,0.91848433,743.6819,1377.9501,0.9328644
891.2804,779.7003,0.95307267,896.4252,762.67163,0.92281604,889.29407,757.88196,1.0029845,845.34033,740.7291,0.74019825,848.2682,739.6443,0.9615294,784.16736,802.29395,0.8601781,787.395,808.19495,0.93969065,686.85156,863.77185,0.784976,681.93396,852.871,0.9294257,599.4895,906.0255,0.82519835,569.8552,901.26685,0.8747785,694.3519,1027.7281,0.7180922,692.2462,1034.1896,0.8458139,771.1754,1187.0248,0.86341953,790.96924,1188.7269,0.9267089,753.49,1344.9065,0.9272964,752.4625,1374.062,0.93773234
901.9779,809.10455,0.99314094,907.6631,793.02094,0.9350207,900.03076,787.18036,0.957592,857.6935,773.09235,0.71440655,858.79224,770.4305,0.98283774,795.58264,831.61896,0.7937217,795.06836,833.7933,0.92926043,669.364,851.1066,0.6810148,672.105,849.2669,0.96034545,554.0099,865.33185,0.8049573,545.20276,857.15924,0.90937275,675.9768,1039.3699,0.7115594,675.775,1044.5273,0.8633295,766.00244,1187.5637,0.89940435,794.15515,1188.1655,0.9212936,750.60803,1344.6069,0.9050214,758.6826,1374.2725,0.9446908
907.4771,844.0394,0.97833014,913.5926,828.17944,0.9520837,905.12726,822.8179,0.9630265,861.4902,807.61365,0.73778176,863.8665,805.7705,0.9695833,797.2452,861.2269,0.79674184,796.22797,860.75085,0.9304788,661.9203,854.7023,0.77480686,673.6956,843.2832,0.9374499,545.824,832.6068,0.8115246,544.40875,820.5863,0.88398397,659.71155,1056.3734,0.6807327,664.0248,1059.7803,0.8508297,763.8372,1193.7274,0.9361925,793.3968,1192.3468,0.9597106,747.8477,1349.2546,0.9431486,765.7956,1378.9166,0.9377549
908.3174,879.59424,0.9797787,913.6937,864.32275,0.9390179,906.7711,859.1002,0.9566791,862.90564,843.7351,0.7532396,865.228,842.3517,0.96379673,804.578,895.4143,0.78622687,798.69214,887.30725,0.8883276,674.6908,866.2388,0.74810684,682.9779,852.32043,0.932708,577.374,834.4464,0.72488546,565.3081,810.329,0.99449116,661.98596,1075.9186,0.6321932,656.1253,1078.413,0.8352038,772.5038,1195.0914,0.8342068,789.6288,1198.2751,0.95866954,750.92004,1350.5895,0.9679341,762.99695,1387.4852,0.93897283
910.3379,908.26526,0.981905,915.98083,893.6741,0.9433235,907.4022,889.1343,1.0085244,864.02625,875.8407,0.7547746,865.0128,874.11743,1.0129972,803.86536,923.9425,0.80042887,795.73486,918.28687,0.91119766,672.2097,893.70056,0.74591553,678.44556,879.25964,0.8926287,577.90454,853.0829,0.8827939,573.4905,828.45044,0.98845387,646.9674,1094.058,0.6242746,649.9634,1098.9261,0.8151814,772.0348,1203.6857,0.87656206,794.5702,1204.2645,0.942348,750.32227,1352.8036,0.8824922,762.6312,1390.6343,0.93594587
912.03394,931.54785,0.9942884,917.31055,915.44824,0.9572654,909.5481,910.93713,0.98204356,862.6172,899.3496,0.7580751,865.5227,898.0995,0.97672987,802.22375,952.25867,0.80220836,790.71655,946.4265,0.8947983,662.35376,934.5487,0.8510351,671.8695,924.4663,0.91954523,567.96606,900.9313,0.82690156,562.7533,868.97437,0.84587896,642.6655,1114.5095,0.61195815,646.20264,1119.4209,0.80847657,777.1035,1206.3323,0.8999249,801.562,1206.3446,0.92886984,750.8319,1352.5585,0.90002835,763.9585,1389.8916,0.90360814
908.7816,943.33203,0.99990845,912.0813,926.51245,0.9209956,904.80347,922.68555,0.9895732,858.5006,913.92334,0.70529926,861.19507,914.10864,0.9898747,796.82935,969.8037,0.7753686,791.27966,971.2383,0.94196814,661.36835,993.34546,0.7770128,659.306,975.33484,0.9278512,558.99316,989.51746,0.8384676,540.7009,952.19446,0.89630914,644.1411,1133.1282,0.60730666,647.0239,1139.8772,0.83292925,787.64844,1206.762,0.7891042,808.027,1210.7079,0.9144787,753.25854,1359.04,0.90455586,766.9297,1392.0901,0.89197594
898.0928,938.56134,0.95703155,899.82825,921.83466,0.91160154,892.87976,918.85394,1.0127934,845.98193,914.4299,0.72007966,849.3407,914.9809,0.98941964,793.9586,979.68024,0.7771622,779.2634,985.455,0.9150559,661.8639,1048.9194,0.78145313,656.6333,1040.7156,0.9362608,563.5548,1091.0024,0.8182384,538.82983,1069.0901,0.8646016,656.8972,1150.2334,0.60944474,651.02954,1160.574,0.8200022,796.25,1206.2478,0.78919363,817.6019,1216.4768,0.9184661,756.688,1361.9575,0.8929548,771.3258,1396.1375,0.9061652
875.2332,922.8795,0.97568285,874.97833,905.63745,0.94846123,867.4816,903.3048,0.9984964,820.80133,903.04736,0.7229559,823.4102,902.6616,0.95830345,767.52655,970.7914,0.74474645,764.34955,990.787,0.93073636,683.3861,1096.0432,0.42391342,678.34845,1109.6294,0.9187391,602.8445,1196.1051,0.3656888,600.58685,1200.6646,0.89724064,676.0872,1155.3945,0.5937274,662.1704,1169.0596,0.76848304,803.8172,1204.756,0.7984311,825.0008,1219.0591,0.88790834,757.3941,1359.681,0.8983526,772.96857,1396.6217,0.89793986
838.9265,904.18726,0.98401845,838.9109,886.9802,0.90495336,830.1184,883.4966,0.98318195,787.3744,885.532,0.68886185,784.5571,883.4895,0.994614,747.406,967.6294,0.78182876,735.772,977.6609,0.91806245,757.17896,1116.693,0.79769385,744.426,1129.8196,0.96156335,781.84814,1206.6511,0.5383494,752.2118,1264.5647,0.8960266,659.801,1164.1675,0.61615705,649.45667,1174.3285,0.8227549,808.09375,1206.6038,0.7095486,828.76636,1218.3848,1.0181646,760.8209,1360.1228,0.8577093,775.62085,1393.4165,0.86902463
795.92737,885.46313,0.93116486,793.78394,868.7158,0.92858326,784.37427,866.41846,0.9876807,743.09656,869.8368,0.69215006,737.85693,868.776,1.0187005,721.3109,957.3048,0.8364996,706.5216,968.30054,0.9090799,811.3125,1053.3004,0.9130417,800.4863,1086.8663,0.92946935,901.5432,1115.6311,0.8718901,902.2805,1167.1948,0.92450553,669.3877,1163.33,0.62890005,654.0663,1174.6833,0.8378849,808.2344,1201.2288,0.80944747,825.90784,1217.142,0.93257505,761.11194,1362.1718,0.8710413,776.265,1396.5502,0.9328188
753.08295,858.9647,1.008261,749.25653,844.5459,0.93284345,738.5169,843.73474,0.9858771,702.1024,855.0873,0.64668345,694.512,855.84924,0.9870934,702.92096,945.9253,0.7173116,684.3488,955.6632,0.91794574,817.8542,989.4911,0.83073866,817.0927,983.6344,0.79638016,946.2978,977.55884,0.62723017,954.1882,985.18945,0.6481653,673.56396,1160.3512,0.64375347,655.1623,1172.7251,0.8431459,810.23334,1204.8469,0.7825464,825.1423,1217.3441,0.935026,759.8858,1361.4742,0.87595737,774.87616,1394.8076,0.9071158
709.041,830.0102,0.9724467,701.32947,815.03973,0.9261136,692.2522,815.26056,0.97588736,656.8816,835.0927,0.6817068,651.2688,836.26166,1.0156593,676.78064,920.4029,0.8309603,666.23596,929.0135,0.9110168,796.85815,884.753,0.8409288,788.0879,868.01935,0.8526161,867.22107,800.8133,0.8309617,895.5863,795.2205,0.8220506,678.27515,1149.4858,0.69548047,664.16675,1162.6716,0.8591694,813.8633,1201.4448,0.8671389,829.8967,1217.1611,0.9405193,762.906,1356.3271,0.9154037,777.31323,1394.4207,0.93493414
650.5089,789.7062,0.9311533,638.29846,780.2351,0.89427215,632.1051,783.2002,0.92712843,606.12024,819.33875,0.7381598,604.93134,817.647,1.0040827,628.0619,890.6145,0.79321456,640.6645,888.1615,0.9804904,714.6676,785.318,0.8554808,726.6527,783.1826,0.7938307,744.1869,683.41516,0.940565,764.2091,674.91565,0.9363781,670.834,1131.4503,0.71488583,678.1765,1136.4286,0.87035406,810.2501,1208.1656,0.82692766,836.8834,1212.7334,0.96873474,764.15845,1349.6609,0.92825615,783.06274,1384.5345,0.94218826
575.61414,758.21387,0.9004148,560.8946,751.90466,0.8744971,556.0567,756.7949,0.93687207,550.85455,791.99414,0.7020453,545.0599,797.37646,0.9375771,586.1468,855.49695,0.8303203,592.18695,849.2523,0.90509456,622.9262,728.3877,0.8499279,635.6799,724.87085,0.9197529,605.051,621.2466,0.93201065,608.6385,614.4175,0.97042036,675.74457,1096.2101,0.76602006,691.4113,1094.3842,0.8988584,811.5412,1191.4797,0.871019,846.7336,1191.2083,0.9527643,770.695,1332.7351,0.9101659,793.5839,1364.3079,0.9289
494.8012,747.3416,0.8784229,480.73914,745.80475,0.7835038,476.8777,752.4184,0.9210381,479.17212,793.0302,0.71464205,477.5296,795.9108,0.9831164,546.7721,826.32733,0.8442564,543.4735,827.5076,0.8849891,538.3136,705.47235,0.73988754,540.8718,696.6722,0.9639074,483.5171,616.5799,0.8393527,480.27563,613.63824,0.9030708,699.3987,1037.3767,0.7323977,705.08984,1037.647,0.8892741,819.02734,1157.8213,0.9349418,851.4302,1156.7043,0.9921599,785.85986,1310.419,0.9275187,810.09534,1336.1501,0.93224525
424.44092,771.36957,0.92115843,409.87512,778.0269,0.83152544,411.66388,784.7548,0.93661106,434.70685,826.63617,0.66508937,432.5522,823.36115,1.0095047,500.82263,824.6717,0.7618849,500.02588,811.7652,0.848492,468.43402,705.8117,0.6176078,464.9109,699.1624,0.9425031,413.11627,639.1956,0.92960453,384.5152,638.12885,0.91064215,701.16583,979.247,0.71926343,715.87836,962.02264,0.8502164,814.4864,1108.0952,0.902211,846.8359,1105.9043,0.9394439,806.7481,1277.9727,0.9192008,827.5008,1296.0054,0.91638815
